company,logo_url
Tata Consultancy Services,https://img.logo.dev/tcs.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Infosys,https://img.logo.dev/infosys.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Wipro,https://img.logo.dev/wipro.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
HCL Technologies,https://img.logo.dev/hcl.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Tech Mahindra,https://img.logo.dev/techmahindra.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Reliance Industries,https://img.logo.dev/reliance.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Adani Group,https://img.logo.dev/adani.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
ICICI Bank,https://img.logo.dev/icici.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
HDFC Bank,https://img.logo.dev/hdfc.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Axis Bank,https://img.logo.dev/axis.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Flipkart,https://img.logo.dev/flipkart.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Amazon,https://img.logo.dev/amazon.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Google,https://img.logo.dev/google.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Microsoft,https://img.logo.dev/microsoft.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Meta,https://img.logo.dev/meta.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Apple,https://img.logo.dev/apple.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Oracle,https://img.logo.dev/oracle.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
IBM,https://img.logo.dev/ibm.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Intel,https://img.logo.dev/intel.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Cisco,https://img.logo.dev/cisco.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Paytm,https://img.logo.dev/paytm.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
PhonePe,https://img.logo.dev/phonepe.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Zomato,https://img.logo.dev/zomato.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Swiggy,https://img.logo.dev/swiggy.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Ola Cabs,https://img.logo.dev/ola.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Uber,https://img.logo.dev/uber.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
BYJU'S,https://img.logo.dev/byjus.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Unacademy,https://img.logo.dev/unacademy.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Nykaa,https://img.logo.dev/nykaa.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Meesho,https://img.logo.dev/meesho.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Deloitte,https://img.logo.dev/deloitte.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
PricewaterhouseCoopers,https://img.logo.dev/pwc.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Ernst & Young,https://img.logo.dev/ey.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
KPMG,https://img.logo.dev/kpmg.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Accenture,https://img.logo.dev/accenture.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Capgemini,https://img.logo.dev/capgemini.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Cognizant,https://img.logo.dev/cognizant.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Larsen & Toubro,https://img.logo.dev/larsentoubro.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Mahindra & Mahindra,https://img.logo.dev/mahindra.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Tata Group,https://img.logo.dev/tata.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Maruti Suzuki,https://img.logo.dev/maruti.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Hero MotoCorp,https://img.logo.dev/hero.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Bajaj Auto,https://img.logo.dev/bajaj.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
TVS Motor Company,https://img.logo.dev/tvs.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Ashok Leyland,https://img.logo.dev/ashokleyland.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
JSW Steel,https://img.logo.dev/jsw.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Tata Steel,https://img.logo.dev/tatasteel.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Vedanta,https://img.logo.dev/vedanta.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Oil and Natural Gas Corporation,https://img.logo.dev/ongc.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Coal India,https://img.logo.dev/coalindia.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Dr. Reddy's Laboratories,https://img.logo.dev/drreddys.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Sun Pharmaceutical,https://img.logo.dev/sunpharma.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Cipla,https://img.logo.dev/cipla.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Apollo Hospitals,https://img.logo.dev/apollo.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Fortis Healthcare,https://img.logo.dev/fortis.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Biocon,https://img.logo.dev/biocon.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Aurobindo Pharma,https://img.logo.dev/aurobindo.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Lupin,https://img.logo.dev/lupin.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Zydus Lifesciences,https://img.logo.dev/zydus.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Glenmark Pharmaceuticals,https://img.logo.dev/glenmark.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Godrej Group,https://img.logo.dev/godrej.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
ITC Limited,https://img.logo.dev/itc.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Havells India,https://img.logo.dev/havells.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Asian Paints,https://img.logo.dev/asianpaints.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Pidilite Industries,https://img.logo.dev/pidilite.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Britannia Industries,https://img.logo.dev/britannia.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Nestle India,https://img.logo.dev/nestle.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Dabur India,https://img.logo.dev/dabur.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Amul,https://img.logo.dev/amul.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Parle Products,https://img.logo.dev/parle.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Samsung,https://img.logo.dev/samsung.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
LG Electronics,https://img.logo.dev/lg.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Sony,https://img.logo.dev/sony.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Panasonic,https://img.logo.dev/panasonic.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Xiaomi,https://img.logo.dev/xiaomi.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
OnePlus,https://img.logo.dev/oneplus.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Realme,https://img.logo.dev/realme.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Vivo,https://img.logo.dev/vivo.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Oppo,https://img.logo.dev/oppo.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Lenovo,https://img.logo.dev/lenovo.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Adobe,https://img.logo.dev/adobe.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Salesforce,https://img.logo.dev/salesforce.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
SAP,https://img.logo.dev/sap.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
ServiceNow,https://img.logo.dev/servicenow.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Snowflake,https://img.logo.dev/snowflake.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Databricks,https://img.logo.dev/databricks.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Atlassian,https://img.logo.dev/atlassian.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Stripe,https://img.logo.dev/stripe.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Airbnb,https://img.logo.dev/airbnb.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Netflix,https://img.logo.dev/netflix.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Spotify,https://img.logo.dev/spotify.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Zoom,https://img.logo.dev/zoom.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Dropbox,https://img.logo.dev/dropbox.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Slack,https://img.logo.dev/slack.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Red Hat,https://img.logo.dev/redhat.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
Cloudflare,https://img.logo.dev/cloudflare.com?token=pk_f_HqZXEiTRO_Fmlwv0doKA
