company,city,sector,role,salary_lpa,skills,experience
Tata Consultancy Services,Ahmedabad,Manufacturing,Operations Engineer,6,"SQL, Communication, Machine Learning",0-2
Infosys,Pune,IT,DevOps Engineer,6,"AWS, PowerBI, Tableau",0-1
Wipro,Noida,Manufacturing,Operations Engineer,4,"SQL, Machine Learning, Figma",1-3
HCL Technologies,Mumbai,Finance,Investment Analyst,11,"Java, Communication, SQL",0-1
Tech Mahindra,Bangalore,Healthcare,Health Data Analyst,15,"Machine Learning, Java, Figma",1-3
Reliance Industries,Hyderabad,IT,Backend Developer,14,"Figma, Python, Excel",0-2
Adani Group,Ahmedabad,Manufacturing,Process Engineer,6,"Marketing Analytics, Statistics, AWS",1-3
ICICI Bank,Pune,Design,Graphic Designer,16,"AWS, PowerBI, SQL",1-3
HDFC Bank,Noida,Marketing,SEO Analyst,20,"AWS, Statistics, SQL",0-1
Axis Bank,Gurgaon,E-commerce,Category Analyst,11,"Statistics, Tableau, AWS",1-3
Flipkart,Bangalore,Design,UX Designer,10,"Figma, Marketing Analytics, Java",0-1
Amazon,Pune,Data Science,ML Engineer,19,"Marketing Analytics, Tableau, Java",1-3
Google,Delhi,E-commerce,Product Analyst,17,"Python, PowerBI, Statistics",0-1
Microsoft,Hyderabad,Telecom,Telecom Engineer,11,"Excel, Communication, SQL",0-2
Meta,Kolkata,Marketing,Growth Marketer,19,"Java, SQL, Communication",0-1
Apple,Bangalore,Marketing,SEO Analyst,18,"Figma, Tableau, PowerBI",0-1
Oracle,Pune,IT,Software Engineer,14,"SQL, Marketing Analytics, PowerBI",1-3
IBM,Chennai,E-commerce,Category Analyst,11,"Excel, Tableau, Machine Learning",1-3
Intel,Delhi,Consulting,Operations Analyst,19,"Marketing Analytics, AWS, Machine Learning",0-2
Cisco,Bangalore,Design,UI Designer,17,"Marketing Analytics, Statistics, SQL",1-3
Paytm,Pune,E-commerce,Category Analyst,14,"PowerBI, Tableau, Statistics",0-2
PhonePe,Delhi,Manufacturing,Process Engineer,20,"Excel, PowerBI, Figma",1-3
Zomato,Pune,Telecom,Network Analyst,4,"Excel, SQL, Java",1-3
Swiggy,Gurgaon,Telecom,Network Analyst,17,"AWS, PowerBI, Figma",1-3
Ola Cabs,Bangalore,E-commerce,Product Analyst,20,"Communication, Java, Python",1-3
Uber,Noida,Design,UI Designer,7,"Marketing Analytics, Python, Statistics",1-3
BYJU'S,Delhi,IT,Frontend Developer,17,"Marketing Analytics, Figma, Statistics",0-1
Unacademy,Chennai,Healthcare,Bioinformatics Analyst,20,"PowerBI, Machine Learning, Statistics",0-1
Nykaa,Ahmedabad,Finance,Risk Analyst,13,"Marketing Analytics, Excel, Communication",0-2
Meesho,Mumbai,Consulting,Operations Analyst,10,"Statistics, AWS, SQL",0-2
Deloitte,Mumbai,Consulting,Operations Analyst,18,"AWS, Statistics, Marketing Analytics",0-1
PricewaterhouseCoopers,Pune,Finance,Investment Analyst,4,"Tableau, AWS, Communication",1-3
Ernst & Young,Kolkata,E-commerce,Category Analyst,5,"Figma, PowerBI, Tableau",0-1
KPMG,Pune,E-commerce,Product Analyst,10,"Excel, Machine Learning, SQL",1-3
Accenture,Delhi,Healthcare,Bioinformatics Analyst,8,"Excel, Python, PowerBI",1-3
Capgemini,Ahmedabad,Design,UX Designer,9,"Excel, Machine Learning, Marketing Analytics",0-1
Cognizant,Noida,Telecom,Network Analyst,12,"PowerBI, Python, Figma",0-2
Larsen & Toubro,Noida,Healthcare,Health Data Analyst,17,"Communication, AWS, Marketing Analytics",0-1
Mahindra & Mahindra,Chennai,Marketing,Digital Marketing Specialist,17,"PowerBI, Statistics, Excel",1-3
Tata Group,Kolkata,E-commerce,Category Analyst,14,"Java, Statistics, Python",0-1
Maruti Suzuki,Delhi,Design,Graphic Designer,20,"Machine Learning, Python, Statistics",0-1
Hero MotoCorp,Bangalore,IT,Backend Developer,7,"SQL, Marketing Analytics, Excel",0-2
Bajaj Auto,Kolkata,Design,UX Designer,8,"Python, Machine Learning, AWS",1-3
TVS Motor Company,Kolkata,Healthcare,Health Data Analyst,18,"Machine Learning, Java, Tableau",0-2
Ashok Leyland,Pune,Finance,Investment Analyst,9,"AWS, Machine Learning, Excel",1-3
JSW Steel,Mumbai,Design,UI Designer,6,"Java, Tableau, PowerBI",0-1
Tata Steel,Ahmedabad,Marketing,Digital Marketing Specialist,14,"Figma, SQL, Tableau",1-3
Vedanta,Noida,Finance,Risk Analyst,12,"Communication, Figma, PowerBI",0-1
Oil and Natural Gas Corporation,Bangalore,Finance,Financial Analyst,6,"Java, Statistics, Excel",1-3
Coal India,Pune,Design,UX Designer,5,"SQL, Statistics, Excel",1-3
Dr. Reddy's Laboratories,Chennai,IT,Backend Developer,10,"Excel, Communication, Statistics",1-3
Sun Pharmaceutical,Chennai,Marketing,Digital Marketing Specialist,15,"PowerBI, Java, Figma",0-2
Cipla,Pune,Manufacturing,Operations Engineer,16,"Tableau, SQL, Communication",0-2
Apollo Hospitals,Kolkata,Data Science,ML Engineer,15,"Machine Learning, Communication, Excel",1-3
